X,Y,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM
29.527073,-2.69135,RW201000000318,RW,2010.000000,318.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,6.000000,Nyaruguru,GPS,R,-2.691350,29.527073,1915.000000,1908.000000,WGS84
29.886086,-1.999938,RW201000000319,RW,2010.000000,319.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,11.000000,Kamonyi,GPS,R,-1.999938,29.886086,1692.000000,1682.000000,WGS84
29.779928,-2.4814,RW201000000320,RW,2010.000000,320.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,7.000000,Huye,GPS,R,-2.481400,29.779928,1615.000000,1594.000000,WGS84
30.04978,-1.898147,RW201000000321,RW,2010.000000,321.000000,RW,RW12,Kigali City,NULL,NULL,1.000000,Kigali City,2.000000,Gasabo,GPS,R,-1.898147,30.049780,1448.000000,1448.000000,WGS84
29.487905,-1.647931,RW201000000322,RW,2010.000000,322.000000,RW,RW14,Western,NULL,NULL,3.000000,West,15.000000,Nyabihu,GPS,R,-1.647931,29.487905,2409.000000,2378.000000,WGS84
29.454717,-2.543066,RW201000000323,RW,2010.000000,323.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,8.000000,Nyamagabe,GPS,R,-2.543066,29.454717,2227.000000,2210.000000,WGS84
28.941822,-2.404493,RW201000000324,RW,2010.000000,324.000000,RW,RW14,Western,NULL,NULL,3.000000,West,17.000000,Rusizi,GPS,R,-2.404493,28.941822,1532.000000,1513.000000,WGS84
30.046899,-1.547196,RW201000000325,RW,2010.000000,325.000000,RW,RW13,Northern,NULL,NULL,4.000000,North,23.000000,Gicumbi,GPS,R,-1.547196,30.046899,1908.000000,1919.000000,WGS84
29.698213,-1.523984,RW201000000326,RW,2010.000000,326.000000,RW,RW13,Northern,NULL,NULL,4.000000,North,21.000000,Musanze,GPS,R,-1.523984,29.698213,1902.000000,1878.000000,WGS84
30.83127,-2.230972,RW201000000327,RW,2010.000000,327.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,28.000000,Kirehe,GPS,R,-2.230972,30.831270,1333.000000,1340.000000,WGS84
30.592224,-2.376306,RW201000000328,RW,2010.000000,328.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,28.000000,Kirehe,GPS,R,-2.376306,30.592224,1644.000000,1647.000000,WGS84
30.074494,-1.920349,RW201000000329,RW,2010.000000,329.000000,RW,RW12,Kigali City,NULL,NULL,1.000000,Kigali City,2.000000,Gasabo,GPS,U,-1.920349,30.074494,1467.000000,1451.000000,WGS84
30.260112,-1.477276,RW201000000330,RW,2010.000000,330.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,25.000000,Nyagatare,GPS,R,-1.477276,30.260112,1470.000000,1474.000000,WGS84
29.641706,-2.159511,RW201000000331,RW,2010.000000,331.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,9.000000,Ruhango,GPS,R,-2.159511,29.641706,1593.000000,1585.000000,WGS84
29.636262,-1.822141,RW201000000332,RW,2010.000000,332.000000,RW,RW14,Western,NULL,NULL,3.000000,West,16.000000,Ngororero,GPS,R,-1.822141,29.636262,1707.000000,1709.000000,WGS84
29.806688,-1.631954,RW201000000333,RW,2010.000000,333.000000,RW,RW13,Northern,NULL,NULL,4.000000,North,20.000000,Gakenke,GPS,R,-1.631954,29.806688,1872.000000,1821.000000,WGS84
29.419156,-2.035534,RW201000000334,RW,2010.000000,334.000000,RW,RW14,Western,NULL,NULL,3.000000,West,13.000000,Rutsiro,GPS,R,-2.035534,29.419156,2178.000000,2196.000000,WGS84
29.866844,-1.37575,RW201000000335,RW,2010.000000,335.000000,RW,RW13,Northern,NULL,NULL,4.000000,North,22.000000,Burera,GPS,R,-1.375750,29.866844,2164.000000,2155.000000,WGS84
29.777254,-2.350536,RW201000000336,RW,2010.000000,336.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,4.000000,Nyanza,GPS,U,-2.350536,29.777254,1773.000000,1779.000000,WGS84
29.710052,-2.634768,RW201000000337,RW,2010.000000,337.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,7.000000,Huye,GPS,R,-2.634768,29.710052,1770.000000,1776.000000,WGS84
30.328502,-1.728407,RW201000000338,RW,2010.000000,338.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,26.000000,Gatsibo,GPS,R,-1.728407,30.328502,1673.000000,1680.000000,WGS84
29.013618,-2.593723,RW201000000339,RW,2010.000000,339.000000,RW,RW14,Western,NULL,NULL,3.000000,West,17.000000,Rusizi,GPS,R,-2.593723,29.013618,1072.000000,1064.000000,WGS84
29.892945,-1.929019,RW201000000340,RW,2010.000000,340.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,11.000000,Kamonyi,GPS,R,-1.929019,29.892945,1727.000000,1715.000000,WGS84
29.912656,-1.90769,RW201000000341,RW,2010.000000,341.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,11.000000,Kamonyi,GPS,R,-1.907690,29.912656,1700.000000,1708.000000,WGS84
29.62421,-1.526269,RW201000000342,RW,2010.000000,342.000000,RW,RW13,Northern,NULL,NULL,4.000000,North,21.000000,Musanze,GPS,R,-1.526269,29.624210,1698.000000,1654.000000,WGS84
29.52377,-2.594646,RW201000000343,RW,2010.000000,343.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,6.000000,Nyaruguru,GPS,R,-2.594646,29.523770,2017.000000,1975.000000,WGS84
30.246107,-2.029782,RW201000000344,RW,2010.000000,344.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,24.000000,Rwamagana,GPS,R,-2.029782,30.246107,1364.000000,1374.000000,WGS84
29.451026,-1.657965,RW201000000345,RW,2010.000000,345.000000,RW,RW14,Western,NULL,NULL,3.000000,West,15.000000,Nyabihu,GPS,R,-1.657965,29.451026,2389.000000,2379.000000,WGS84
29.8202,-1.704489,RW201000000346,RW,2010.000000,346.000000,RW,RW13,Northern,NULL,NULL,4.000000,North,20.000000,Gakenke,GPS,R,-1.704489,29.820200,1798.000000,1811.000000,WGS84
29.456503,-2.330626,RW201000000347,RW,2010.000000,347.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,8.000000,Nyamagabe,GPS,R,-2.330626,29.456503,2081.000000,2075.000000,WGS84
28.933981,-2.573236,RW201000000348,RW,2010.000000,348.000000,RW,RW14,Western,NULL,NULL,3.000000,West,17.000000,Rusizi,GPS,R,-2.573236,28.933981,1663.000000,1690.000000,WGS84
30.304729,-2.124417,RW201000000349,RW,2010.000000,349.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,29.000000,Ngoma,GPS,R,-2.124417,30.304729,1379.000000,1371.000000,WGS84
29.923061,-1.489671,RW201000000350,RW,2010.000000,350.000000,RW,RW13,Northern,NULL,NULL,4.000000,North,22.000000,Burera,GPS,R,-1.489671,29.923061,2303.000000,2289.000000,WGS84
29.4579,-1.610184,RW201000000351,RW,2010.000000,351.000000,RW,RW14,Western,NULL,NULL,3.000000,West,15.000000,Nyabihu,GPS,R,-1.610184,29.457900,2425.000000,2415.000000,WGS84
