cluster,latitude,longitude,cluster_wealth_mean
338,-1.728407,30.328502,-0.297150769
339,-2.593723,29.013618,-0.237988
340,-1.929019,29.892945,-0.181826667
341,-1.90769,29.912656,-0.252099615
342,-1.526269,29.62421,-0.346164231
343,-2.594646,29.52377,-0.0050376
344,-2.029782,30.246107,0.0323196
345,-1.657965,29.451026,-0.0010788
346,-1.704489,29.8202,-0.356192
347,-2.330626,29.456503,-0.550544615
348,-2.573236,28.933981,-0.515626923
349,-2.124417,30.304729,-0.3329288
350,-1.489671,29.923061,-0.191352308
351,-1.610184,29.4579,0.3053125
352,-2.800865,29.579655,-0.613623846
353,-2.345122,29.637055,-0.389672692
354,-2.202149,30.139568,-0.027451154
355,-1.963772,30.032885,0.4334376
356,-1.817924,29.518657,-0.513908
357,-2.54094,29.053524,-0.397083462
358,-2.353186,29.828331,-0.426167308
359,-2.052887,29.426793,-0.3708932
360,-2.562947,29.057529,-0.476482308
361,-1.696857,29.948877,-0.250906
362,-2.356264,29.396761,-0.482270769
363,-2.138187,30.441904,-0.254173077
364,-1.954886,30.366392,0.111776538
365,-2.054273,29.762236,-0.87957
366,-1.922246,29.821522,-0.235664615
367,-2.38806,29.258739,-0.355333043
368,-1.986546,30.144486,1.019444231
369,-1.805389,29.375352,-0.2402216
370,-2.134998,30.477437,-0.317255769
371,-1.668376,29.902769,-0.378146538
372,-1.935941,30.687219,-0.399195769
373,-1.980913,30.183944,1.05541
374,-1.843207,29.783921,-0.341203077
375,-2.003313,30.043979,0.990932308
376,-2.450605,29.957955,-0.400730385
377,-1.657813,29.557036,-0.415510385
378,-1.657729,29.481978,0.090680769
379,-1.799602,30.358161,-0.429064231
380,-1.992058,30.324192,0.041068846
381,-1.921521,30.0644,2.566392609
382,-2.198356,29.948676,-0.329529167
383,-1.983305,30.027391,4.016780385
384,-1.728739,29.350226,-0.511408462
385,-2.198063,30.500769,-0.405064615
386,-2.792961,29.418105,-0.630803462
387,-1.816872,30.410905,-0.230506154
388,-2.731362,29.780691,-0.3567192
389,-2.681601,29.740053,-0.465083077
390,-1.976122,30.094821,2.441348846
391,-1.570421,29.44361,-0.250815
392,-1.733422,29.595184,-0.352074583
393,-2.598745,29.716773,0.933850385
394,-2.075481,29.740522,1.136366667
395,-1.444471,29.509372,-0.3313564
396,-2.142409,30.096497,-0.183278846
397,-2.465316,29.467918,-0.553650769
398,-1.928739,29.743956,-0.2973028
399,-1.275019,30.381223,0.0493228
400,-1.948766,29.797733,-0.2044592
401,-1.970013,30.037682,1.65345913
402,-1.956508,30.047549,1.676696
403,-1.655143,29.684502,-0.4234572
404,-2.539896,29.032055,-0.4591788
405,-1.386951,29.833824,-0.492799615
406,-2.695023,29.002655,-0.119059231
407,-1.97753,29.570432,-0.5276228
408,-2.552635,29.096091,-0.461427692
409,-2.005244,29.770131,-0.207692
410,-1.805823,30.046599,-0.360928462
411,-1.993914,30.064323,2.294387308
412,-1.948529,30.375445,-0.239672692
413,-1.528342,29.603571,-0.493095385
414,-2.1345,30.32137,-0.329051923
415,-1.886756,29.879609,-0.161918077
416,-1.398027,29.694173,-0.399766818
417,-1.945,30.048865,2.093427308
418,-1.761856,29.338515,-0.365057308
419,-1.944706,30.063279,2.534186923
420,-2.057154,30.045359,-0.200774
421,-2.136239,30.664806,-0.439876154
422,-1.884319,29.559903,-0.519768077
423,-1.703399,29.256782,1.738500417
424,-1.940063,30.091425,2.811750385
425,-2.365815,29.939349,-0.3578464
426,-1.48276,29.779362,-0.211188077
427,-1.772094,29.521851,1.427105217
428,-2.578385,29.860149,-0.237846538
429,-2.280823,29.698357,-0.324566923
430,-1.798374,29.278809,-0.563548462
431,-1.76192,29.91315,-0.277858846
432,-2.223684,29.553908,-0.361573077
433,-1.784853,30.496993,-0.239316154
434,-2.113522,29.758143,-0.84599
435,-1.671156,29.948958,-0.2897864
436,-2.242963,30.112396,-0.395361538
437,-2.296489,30.015236,0.002878462
438,-1.520894,29.663135,0.094263077
439,-1.946122,30.423228,0.1777204
440,-2.015934,29.914014,-0.324149231
441,-1.616108,29.882843,-0.228756923
442,-1.815346,29.320772,-0.5403244
443,-1.962997,30.118024,2.496460769
444,-1.59213,29.472792,-0.117622083
445,-1.633816,29.767421,-0.406921538
446,-2.256404,29.686877,-0.288653462
447,-1.433624,29.62412,-0.2249892
448,-1.607969,29.949778,-0.3048812
449,-1.784873,29.609929,-0.477719231
450,-1.597075,29.375018,-0.374296154
451,-2.237258,29.1907,-0.419510833
452,-1.920579,29.37916,-0.1436396
453,-1.649106,30.070285,-0.2824896
454,-1.536608,30.248538,-0.135211154
455,-2.39019,28.981013,-0.3511156
456,-1.786748,29.94159,-0.258973462
457,-1.64012,29.920405,-0.440414615
458,-2.129858,30.23213,-0.316772692
459,-1.951422,30.266767,0.129316154
460,-1.962138,30.037816,1.895098077
461,-1.975932,30.041413,2.599671154
462,-2.682618,29.81228,-0.340674615
463,-2.187308,29.392258,-0.3612652
464,-1.853775,30.05054,-0.319817308
465,-2.075093,29.587154,-0.4545876
466,-1.964067,30.60644,-0.004821923
467,-2.203129,30.51851,0.1418364
468,-2.433123,29.547916,-0.539218846
469,-1.658179,29.337824,-0.3741696
470,-2.709279,29.546921,-0.307791923
471,-2.461804,29.641229,-0.519729615
472,-2.09527,30.738608,0.178790385
473,-2.425081,29.842916,-0.077108077
474,-2.026905,29.801989,-0.404080385
475,-1.584633,29.745352,-0.332467692
476,-1.430599,29.67574,-0.3618308
477,-1.95007,30.141162,0.02911375
478,-2.312788,30.080022,-0.364274231
479,-2.599329,29.842978,-0.562406154
480,-1.467539,29.608849,-0.408292308
481,-1.979686,30.140415,2.371723462
482,-1.744176,30.366519,-0.232612308
483,-1.643778,30.307225,-0.348147308
484,-1.688078,30.291257,-0.462541923
485,-2.343529,30.699,-0.2455328
486,-2.336048,30.288211,-0.1413676
487,-2.084839,29.405355,-0.2652204
488,-2.389778,29.451722,-0.490284615
489,-2.144317,30.348895,-0.387646923
490,-1.96783,30.441541,0.451675385
491,-1.441294,30.063765,-0.217502
492,-2.019624,29.694921,-0.2279704
